point,point_class,proposed_hasTimeseriesId,hasEntityId_TO_CONFIRM,meters
entity:SSC_01-P-1_P-1_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_P_1_P_1,entity:SSC_01-P-1_P-1
entity:SSC_01-P-1_P-1_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_P_1_P_1,entity:SSC_01-P-1_P-1
entity:SSC_01-P-2_P-2_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_P_2_P_2,entity:SSC_01-P-2_P-2
entity:SSC_01-P-2_P-2_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_P_2_P_2,entity:SSC_01-P-2_P-2
entity:SSC_01-ST-1_Stair-1_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_ST_1_Stair_1,entity:SSC_01-ST-1_Stair-1
entity:SSC_01-ST-1_Stair-1_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_ST_1_Stair_1,entity:SSC_01-ST-1_Stair-1
entity:SSC_01-ST-2_Stair-2_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_ST_2_Stair_2,entity:SSC_01-ST-2_Stair-2
entity:SSC_01-ST-2_Stair-2_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_ST_2_Stair_2,entity:SSC_01-ST-2_Stair-2
entity:SSC_01-ST-3_Stair-3_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_ST_3_Stair_3,entity:SSC_01-ST-3_Stair-3
entity:SSC_01-ST-3_Stair-3_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_ST_3_Stair_3,entity:SSC_01-ST-3_Stair-3
entity:SSC_01-ST-4_Stair-4_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_ST_4_Stair_4,entity:SSC_01-ST-4_Stair-4
entity:SSC_01-ST-4_Stair-4_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_ST_4_Stair_4,entity:SSC_01-ST-4_Stair-4
entity:SSC_01-ST-5_Stair-5_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_ST_5_Stair_5,entity:SSC_01-ST-5_Stair-5
