row,building,tag,room before,room after,chosen from,kind of change
219,HQ,VAV0059,FINANCE SECRETARY 1.016,1.016 FINANCE SECRETARY,D,"same room, name reordered"
220,HQ,VAV0060,FINANCE DIRECTOR 1.017,1.017 FINANCE DIRECTOR ENSUIT,D->E,"same room, name reordered"
221,HQ,VAV0061,FINANCE MANAGER 1.018,1.018 FINANCE MANAGER,D,"same room, name reordered"
222,HQ,VAV0062,FINANCE MANAGER 1.019,1.019 FINANCE MANAGER,D,"same room, name reordered"
223,HQ,VAV0063,FINANCE MANAGER 1.020,1.020 FINANCE MANAGER,J,"same room, name reordered"
224,HQ,VAV0064,FINANCE SEC 1.021,1.021 FINANCE SECRETARY,D->E,"same room, name reordered"
225,HQ,VAV0065,FINANCE SEC 1.022,1.022 FINANCE SECRETARY,D->E,"same room, name reordered"
226,HQ,VAV0066,FINANCE AUDIT 1.023,1.023 FINANCE AUDIT,D,"same room, name reordered"
227,HQ,VAV0067,FINANCE AUDIT 1.024,1.024 FINANCE AUDIT,D,"same room, name reordered"
228,HQ,VAV0068,FINANCE STAFF 1.025,1.025 FINANCE PROFSTAFF,D->E,"same room, name reordered"
229,HQ,VAV0069,FINANCE STAFF 1.026,1.026 FINANCE PROFSTAFF,D->E,"same room, name reordered"
230,HQ,VAV0070,FINANCE MANAGER 1.027,1.027 FINANCE AUDITOR,D->E,"same room, name reordered"
231,HQ,VAV0071,FINANCE MANAGER 1.028,1.028 FINANCE MANAGER,D,"same room, name reordered"
232,HQ,VAV0072,FINANCE MANAGER 1.029,1.029 FINANCE MANAGER,D,"same room, name reordered"
233,HQ,VAV0073,FINANCE SECRETARY 1.001,1.001 FINANCE CLERICAL SECRETARIES,D->E,"same room, name reordered"
234,HQ,VAV0074,FINANCE MANAGER 1.002,1.002 FINANCE MANAGER,D,"same room, name reordered"
235,HQ,VAV0075,FINANCE MANAGER 1.003,1.003 FINANCE MANAGER,D,"same room, name reordered"
236,HQ,VAV0076,FINANCE MANAGER 1.004,1.004 FINANCE MANAGER,D,"same room, name reordered"
237,HQ,VAV0077,FINANCE SECRETARY 1.005,1.005 FINANCE SECRETARY,J,"same room, name reordered"
