family,kind,part,point,units,of,example_tag,historian_description,unit_of_measure,signal,match_phrase,match_phrase_source,point_kind,part_device,part_class_darcairo,part_class_score,part_class_from,part_status,darcairo_class,darcairo_score,darcairo_uses,darcairo_evidence,runner_up,runner_up_score,darcairo_class_in_brick,brick_candidate,brick_candidate_status,brick_candidate_score,proposed_class,proposed_from,status
AHUB,part+point,SupFan1,kW,1,15,QNL_AHUB001_SupFan1.kW,Power,kW,analog,electric power,expanded from the tag,Sensor,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,brick:Electric_Power_Sensor,0.67,713,class name,brick:Thermal_Power_Sensor,0.25,OK,brick:Electric_Power_Sensor,OK,0.40,brick:Electric_Power_Sensor,Dar Cairo,auto
AHUB,part+point,SupFan2,kW,1,15,QNL_AHUB001_SupFan2.kW,Power,kW,analog,electric power,expanded from the tag,Sensor,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,brick:Electric_Power_Sensor,0.67,713,class name,brick:Thermal_Power_Sensor,0.25,OK,brick:Electric_Power_Sensor,OK,0.40,brick:Electric_Power_Sensor,Dar Cairo,auto
CAV,point,,DmprPos,50,51,QNL_CAV_1F_S11_001.DmprPos,Damper Position,%,analog,Damper Position,historian description,,,,,,,brick:Damper_Position_Sensor,0.67,74,class name,brick:Damper_Position_Command,0.67,OK,brick:Damper_Position_Command,OK,0.67,brick:Damper_Position_Sensor,Dar Cairo,auto
CAV,point,,DuctAirFlow,50,51,QNL_CAV_1F_S11_001.DuctAirFlow,Duct Air Flow,l/s,analog,Duct Air Flow,historian description,,,,,,,brick:Air_Flow_Sensor,0.50,23,class name,brick:Supply_Air_Flow_Sensor,0.40,OK,brick:Air_Flow_Alarm,OK,0.50,,,needs-you: confirm the Dar Cairo candidate
CAV,point,,EffectiveSP,50,51,QNL_CAV_1F_S11_001.EffectiveSP,Effective Temperature Setpoint,°C,analog,Effective Temperature Setpoint,historian description,Setpoint,,,,,,brick:Cooling_Temperature_Setpoint,0.50,52,class name,para:HRW_Heating_Temperature_Setpoint,0.40,OK,brick:Effective_Air_Temperature_Setpoint,OK,0.75,,,needs-you: confirm the Dar Cairo candidate
CAV,point,,RmTemp,6,51,QNL_CAV_B_S12_002.RmTemp,Room/Space Temperature,°C,analog,Room/Space Temperature,historian description,,,,,,,para:Room_Air_Temperature,0.50,52,class name,brick:Temperature_Sensor,0.25,not in Brick 1.4,brick:Room_Air_Temperature_Sensor,OK,0.40,,,needs-you: confirm the Dar Cairo candidate
FCU,point,,CalcEntryScheduledHrs,137,137,QNL_FCU_1F_001.CalcEntryScheduledHrs,ScheduledPM Hours (Manual Entry),Hrs,analog,ScheduledPM Hours (Manual Entry),historian description,Hours,,,,,,para:Operation_Hours,0.20,200,class name,para:Occupied_Hours,0.20,not in Brick 1.4,tag:Manual,OK,0.07,,,needs-you: no match - propose a para: class
FCU,point,,CalcEntryUnscheduledHrs,137,137,QNL_FCU_1F_001.CalcEntryUnscheduledHrs,UnScheduled Outage Hours (Manual Entry),hrs,analog,UnScheduled Outage Hours (Manual Entry),historian description,Hours,,,,,,para:Operation_Hours,0.17,200,class name,para:Occupied_Hours,0.17,not in Brick 1.4,tag:Manual,OK,0.06,,,needs-you: no match - propose a para: class
FCU,point,,EffectiveSP,137,137,QNL_FCU_1F_001.EffectiveSP,QNL FCU-1F-001 Terrace Floor Zone-03  South East IDF Room,°C,analog,effective temperature setpoint,expanded from the tag,Setpoint,,,,,,brick:Cooling_Temperature_Setpoint,0.50,52,class name,para:HRW_Heating_Temperature_Setpoint,0.40,OK,brick:Effective_Air_Temperature_Setpoint,OK,0.75,,,needs-you: confirm the Dar Cairo candidate
FCU,point,,ValveFbk,137,137,QNL_FCU_1F_001.ValveFbk,QNL FCU-1F-001 Terrace Floor Zone-03  South East IDF Room,%,analog,valve position feedback,expanded from the tag,Sensor,,,,,,brick:Valve_Position_Sensor,0.50,24,class name,brick:Damper_Position_Sensor,0.20,OK,brick:Valve_Position_Sensor,OK,0.50,,,needs-you: confirm the Dar Cairo candidate
FCU,point,,RtnAirTemp,82,137,QNL_FCU_1F_002.RtnAirTemp,Return Air Temperature,°C,analog,Return Air Temperature,historian description,,,,,,,brick:Return_Air_Temperature_Sensor,0.75,24,class name,para:Room_Air_Temperature,0.50,OK,brick:Return_Air_Temperature_Alarm,OK,0.75,brick:Return_Air_Temperature_Sensor,Dar Cairo,auto
FCU,point,,RtnTempSP,82,137,QNL_FCU_1F_002.RtnTempSP,Return Air Temperature SetPoint,°C,analog,Return Air Temperature SetPoint,historian description,Setpoint,,,,,,para:Winter_Supply_Air_Temperature_Setpoint,0.50,20,class name,para:Summer_Supply_Air_Temperature_Setpoint,0.50,not in Brick 1.4,brick:Return_Air_Temperature_Setpoint,OK,1.00,brick:Return_Air_Temperature_Setpoint,Brick 1.4 exact,auto
FCU,point,,RmTemp,59,137,QNL_FCU_1F_001.RmTemp,QNL FCU-1F-001 Terrace Floor Zone-03  South East IDF Room,°C,analog,room temperature,expanded from the tag,,,,,,,para:Room_Air_Temperature,0.67,52,class name,brick:Temperature_Sensor,0.33,not in Brick 1.4,brick:Room_Air_Temperature_Sensor,OK,0.50,para:Room_Air_Temperature,Dar Cairo,auto
VAV,point,,DmprPos,245,246,QNL_VAV_1F_S11_001.DmprPos,Damper Position,%,analog,Damper Position,historian description,,,,,,,brick:Damper_Position_Sensor,0.67,74,class name,brick:Damper_Position_Command,0.67,OK,brick:Damper_Position_Command,OK,0.67,brick:Damper_Position_Sensor,Dar Cairo,auto
VAV,point,,DuctAirFlow,245,246,QNL_VAV_1F_S11_001.DuctAirFlow,Duct Air Flow,l/s,analog,Duct Air Flow,historian description,,,,,,,brick:Air_Flow_Sensor,0.50,23,class name,brick:Supply_Air_Flow_Sensor,0.40,OK,brick:Air_Flow_Alarm,OK,0.50,,,needs-you: confirm the Dar Cairo candidate
VAV,point,,EffectiveSP,245,246,QNL_VAV_1F_S11_001.EffectiveSP,Effective Temperature Setpoint,°C,analog,Effective Temperature Setpoint,historian description,Setpoint,,,,,,brick:Cooling_Temperature_Setpoint,0.50,52,class name,para:HRW_Heating_Temperature_Setpoint,0.40,OK,brick:Effective_Air_Temperature_Setpoint,OK,0.75,,,needs-you: confirm the Dar Cairo candidate
VAV,point,,RmTemp,44,246,QNL_VAV_1F_S11_004.RmTemp,Room/Space Temperature,°C,analog,Room/Space Temperature,historian description,,,,,,,para:Room_Air_Temperature,0.50,52,class name,brick:Temperature_Sensor,0.25,not in Brick 1.4,brick:Room_Air_Temperature_Sensor,OK,0.40,,,needs-you: confirm the Dar Cairo candidate
