point,point_class,proposed_hasTimeseriesId,hasEntityId_TO_CONFIRM,meters
entity:QNL_B-036_Cor-Corridor-4a_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-036_Cor-Corridor-4a
entity:QNL_B-036_Rest-Rest-Room-Women_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-036_Rest-Rest-Room-Women
entity:QNL_B-036_Rest-Rest-Room-Women_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-036_Rest-Rest-Room-Women
entity:QNL_B-040_Office_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-040_Office
entity:QNL_B-040_Office_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-040_Office
entity:QNL_B-041_Digitization-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-041_Digitization-Room
entity:QNL_B-041_Digitization-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-041_Digitization-Room
entity:QNL_B-042_Reception-Lounge_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-042_Reception-Lounge
entity:QNL_B-042_Reception-Lounge_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-042_Reception-Lounge
entity:QNL_B-043_Binding-Preservation-Space_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-043_Binding-Preservation-Space
entity:QNL_B-043_Binding-Preservation-Space_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-043_Binding-Preservation-Space
entity:QNL_B-044_BOH-B-O-H-Kitchen_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-044_BOH-B-O-H-Kitchen
entity:QNL_B-044_BOH-B-O-H-Kitchen_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-044_BOH-B-O-H-Kitchen
entity:QNL_B-044_BOH-Kitchen_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-044_BOH-Kitchen
entity:QNL_B-044_BOH-Kitchen_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-044_BOH-Kitchen
entity:QNL_B-044_Fin-Fine-Binding_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-044_Fin-Fine-Binding
entity:QNL_B-044_Fin-Fine-Binding_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-044_Fin-Fine-Binding
entity:QNL_B-045A_Refrigerate-Store_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-045A_Refrigerate-Store
entity:QNL_B-045A_Refrigerate-Store_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-045A_Refrigerate-Store
entity:QNL_B-046_Itt-Irrigation-Control-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-046_Itt-Irrigation-Control-Room
entity:QNL_B-046_Itt-Irrigation-Control-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-046_Itt-Irrigation-Control-Room
entity:QNL_B-046_Res-Rest-Room-Men_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-046_Res-Rest-Room-Men
entity:QNL_B-046_Res-Rest-Room-Men_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-046_Res-Rest-Room-Men
entity:QNL_B-047_Rest-Room-Women_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-047_Rest-Room-Women
entity:QNL_B-047_Rest-Room-Women_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-047_Rest-Room-Women
entity:QNL_B-048_QTEL-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-048_QTEL-Room
entity:QNL_B-048_QTEL-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-048_QTEL-Room
entity:QNL_B-049_MEP-Kitchen_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-049_MEP-Kitchen
entity:QNL_B-049_MEP-Kitchen_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-049_MEP-Kitchen
entity:QNL_B-050_Telecom-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-050_Telecom-Room
entity:QNL_B-050_Telecom-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-050_Telecom-Room
entity:QNL_B-051_Storage_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-051_Storage
