subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
entity:QNL_B_060_MAINTENANCE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.060 MAINTENANCE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_062_IDF_CORRIDOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.062 IDF CORRIDOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_063_PLANT_ROOM_01,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.063 PLANT ROOM 01,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_065_VENTLATON,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.065 VENTLATON,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_066_CORRIDOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.066 CORRIDOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_067_VENTLATON,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.067 VENTLATON,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_068_CORRIDOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.068 CORRIDOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_070_PLANT_ROOM_02,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.070 PLANT ROOM 02,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_071_FIRE_COMMAND_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.071 FIRE COMMAND ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_072_SPRIMKLERS_PUMPS_&_ZONES_VALVES,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.072 SPRIMKLERS PUMPS & ZONES VALVES,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_080_GENERATOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.080 GENERATOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_081_MV_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.081 MV ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_082_TRANSFORMER_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.082 TRANSFORMER ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_084_UPS_BATTERY_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.084 UPS BATTERY ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_085_FUMIGATION_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.085 FUMIGATION ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_086_FREEZE_AREA,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.086 FREEZE AREA,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_087_GAS_SUPPRESSION_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.087 GAS SUPPRESSION ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_088_PEOPLE_MOVER_PLANT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.088 PEOPLE MOVER PLANT,,,,,,,,,,,,,,,,,,,,
