old_identifier,new_identifier,kind
entity:QNL_AHU_B_003_SpcTemp01_PV,entity:QNL_AHU-B-003_Space-Temperature-1,point
entity:QNL_AHU_B_003_SpcTemp02_PV,entity:QNL_AHU-B-003_Space-Temperature-2,point
entity:QNL_AHU_B_003_SpcTemp03_PV,entity:QNL_AHU-B-003_Space-Temperature-3,point
entity:QNL_AHU_B_003_SpcTemp04_PV,entity:QNL_AHU-B-003_Space-Temperature-4,point
entity:QNL_AHU_B_003_SpcTemp05_PV,entity:QNL_AHU-B-003_Space-Temperature-5,point
entity:QNL_AHU_B_003_SupAirDuctPrs_PV,entity:QNL_AHU-B-003_Supply-Air-Duct-Pressure,point
entity:QNL_AHU_B_003_SupAirFlow_PV,entity:QNL_AHU-B-003_Supply-Air-Flow,point
entity:QNL_AHU_B_003_SupAirHumd_PV,entity:QNL_AHU-B-003_Supply-Air-Humidity,point
entity:QNL_AHU_B_003_SupAirTemp_PV,entity:QNL_AHU-B-003_Supply-Air-Temperature,point
entity:QNL_AHU_B_003_SupFan_AutoManCmd,entity:QNL_AHU-B-003_Supply-Fan-Auto-Manual-Command,point
entity:QNL_AHU_B_003_SupFan_FTSP,entity:QNL_AHU-B-003_Supply-Fan-Fail-To-Stop-Alarm,point
entity:QNL_AHU_B_003_SupFan_FTST,entity:QNL_AHU-B-003_Supply-Fan-Fail-To-Start-Alarm,point
entity:QNL_AHU_B_003_SupFan_SpeedFbk,entity:QNL_AHU-B-003_Supply-Fan-Speed-Feedback,point
entity:QNL_AHU_B_003_SupFan_TripAlm,entity:QNL_AHU-B-003_Supply-Fan-Trip-Alarm,point
entity:QNL_AHU_B_003_SupFan_kW,entity:QNL_AHU-B-003_Supply-Fan-Electric-Power,point
entity:QNL_AHU_B_003_SupFan_kWH,entity:QNL_AHU-B-003_Supply-Fan-Electrical-Energy,point
entity:QNL_AHU_B_004,entity:QNL_AHU-B-004,equipment
entity:QNL_AHU_B_004_AvgSpcHumd_PV,entity:QNL_AHU-B-004_Average-Space-Humidity,point
entity:QNL_AHU_B_004_AvgSpcTemp_PV,entity:QNL_AHU-B-004_Average-Space-Temperature,point
entity:QNL_AHU_B_004_CHW-Coil,entity:QNL_AHU-B-004_CHW-Coil,part
entity:QNL_AHU_B_004_CHWRtnTemp_PV,entity:QNL_AHU-B-004_Chilled-Water-Return-Temperature,point
entity:QNL_AHU_B_004_CHWSupTemp_PV,entity:QNL_AHU-B-004_Chilled-Water-Supply-Temperature,point
entity:QNL_AHU_B_004_CoolVlv_PosFbk,entity:QNL_AHU-B-004_Cooling-Valve-Position-Feedback,point
entity:QNL_AHU_B_004_Electric-Coil,entity:QNL_AHU-B-004_Electric-Coil,part
entity:QNL_AHU_B_004_EnableDisableCmd,entity:QNL_AHU-B-004_Enable-Disable-Command,point
entity:QNL_AHU_B_004_FrshAirTemp_PV,entity:QNL_AHU-B-004_Fresh-Air-Temperature,point
entity:QNL_AHU_B_004_MixAirTemp_PV,entity:QNL_AHU-B-004_Mixed-Air-Temperature,point
entity:QNL_AHU_B_004_RtnAirDuctPrs_PV,entity:QNL_AHU-B-004_Return-Air-Duct-Pressure,point
entity:QNL_AHU_B_004_RtnAirHumd_PV,entity:QNL_AHU-B-004_Return-Air-Humidity,point
entity:QNL_AHU_B_004_RtnAirTemp_PV,entity:QNL_AHU-B-004_Return-Air-Temperature,point
entity:QNL_AHU_B_004_RtnHumiditySP,entity:QNL_AHU-B-004_Return-Air-Humidity-Setpoint,point
entity:QNL_AHU_B_004_SF,entity:QNL_AHU-B-004_SF,part
entity:QNL_AHU_B_004_SF_Motor,entity:QNL_AHU-B-004_SF-Motor,part
entity:QNL_AHU_B_004_SpcHumd01_PV,entity:QNL_AHU-B-004_Space-Humidity-1,point
entity:QNL_AHU_B_004_SpcHumd02_PV,entity:QNL_AHU-B-004_Space-Humidity-2,point
entity:QNL_AHU_B_004_SpcHumd03_PV,entity:QNL_AHU-B-004_Space-Humidity-3,point
entity:QNL_AHU_B_004_SpcHumd04_PV,entity:QNL_AHU-B-004_Space-Humidity-4,point
entity:QNL_AHU_B_004_SpcHumd05_PV,entity:QNL_AHU-B-004_Space-Humidity-5,point
entity:QNL_AHU_B_004_SpcHumd06_PV,entity:QNL_AHU-B-004_Space-Humidity-6,point
entity:QNL_AHU_B_004_SpcTemp01_PV,entity:QNL_AHU-B-004_Space-Temperature-1,point
entity:QNL_AHU_B_004_SpcTemp02_PV,entity:QNL_AHU-B-004_Space-Temperature-2,point
entity:QNL_AHU_B_004_SpcTemp03_PV,entity:QNL_AHU-B-004_Space-Temperature-3,point
entity:QNL_AHU_B_004_SpcTemp04_PV,entity:QNL_AHU-B-004_Space-Temperature-4,point
entity:QNL_AHU_B_004_SpcTemp05_PV,entity:QNL_AHU-B-004_Space-Temperature-5,point
entity:QNL_AHU_B_004_SpcTemp06_PV,entity:QNL_AHU-B-004_Space-Temperature-6,point
entity:QNL_AHU_B_004_SupAirDuctPrs_PV,entity:QNL_AHU-B-004_Supply-Air-Duct-Pressure,point
entity:QNL_AHU_B_004_SupAirFlow_PV,entity:QNL_AHU-B-004_Supply-Air-Flow,point
entity:QNL_AHU_B_004_SupAirHumd_PV,entity:QNL_AHU-B-004_Supply-Air-Humidity,point
entity:QNL_AHU_B_004_SupAirTemp_PV,entity:QNL_AHU-B-004_Supply-Air-Temperature,point
entity:QNL_AHU_B_004_SupFan_AutoManCmd,entity:QNL_AHU-B-004_Supply-Fan-Auto-Manual-Command,point
entity:QNL_AHU_B_004_SupFan_FTSP,entity:QNL_AHU-B-004_Supply-Fan-Fail-To-Stop-Alarm,point
entity:QNL_AHU_B_004_SupFan_FTST,entity:QNL_AHU-B-004_Supply-Fan-Fail-To-Start-Alarm,point
entity:QNL_AHU_B_004_SupFan_SpeedFbk,entity:QNL_AHU-B-004_Supply-Fan-Speed-Feedback,point
entity:QNL_AHU_B_004_SupFan_TripAlm,entity:QNL_AHU-B-004_Supply-Fan-Trip-Alarm,point
entity:QNL_AHU_B_004_SupFan_kW,entity:QNL_AHU-B-004_Supply-Fan-Electric-Power,point
entity:QNL_AHU_B_004_SupFan_kWH,entity:QNL_AHU-B-004_Supply-Fan-Electrical-Energy,point
entity:QNL_AHU_B_005,entity:QNL_AHU-B-005,equipment
entity:QNL_AHU_B_005_AvgSpcHumd_PV,entity:QNL_AHU-B-005_Average-Space-Humidity,point
entity:QNL_AHU_B_005_AvgSpcTemp_PV,entity:QNL_AHU-B-005_Average-Space-Temperature,point
entity:QNL_AHU_B_005_CHW-Coil,entity:QNL_AHU-B-005_CHW-Coil,part
entity:QNL_AHU_B_005_CHWRtnTemp_PV,entity:QNL_AHU-B-005_Chilled-Water-Return-Temperature,point
entity:QNL_AHU_B_005_CHWSupTemp_PV,entity:QNL_AHU-B-005_Chilled-Water-Supply-Temperature,point
entity:QNL_AHU_B_005_CoolVlv_PosFbk,entity:QNL_AHU-B-005_Cooling-Valve-Position-Feedback,point
entity:QNL_AHU_B_005_Electric-Coil,entity:QNL_AHU-B-005_Electric-Coil,part
entity:QNL_AHU_B_005_EnableDisableCmd,entity:QNL_AHU-B-005_Enable-Disable-Command,point
entity:QNL_AHU_B_005_FrshAirTemp_PV,entity:QNL_AHU-B-005_Fresh-Air-Temperature,point
entity:QNL_AHU_B_005_MixAirTemp_PV,entity:QNL_AHU-B-005_Mixed-Air-Temperature,point
entity:QNL_AHU_B_005_RtnAirDuctPrs_PV,entity:QNL_AHU-B-005_Return-Air-Duct-Pressure,point
entity:QNL_AHU_B_005_RtnAirHumd_PV,entity:QNL_AHU-B-005_Return-Air-Humidity,point
entity:QNL_AHU_B_005_RtnAirTemp_PV,entity:QNL_AHU-B-005_Return-Air-Temperature,point
entity:QNL_AHU_B_005_RtnHumiditySP,entity:QNL_AHU-B-005_Return-Air-Humidity-Setpoint,point
entity:QNL_AHU_B_005_SF,entity:QNL_AHU-B-005_SF,part
entity:QNL_AHU_B_005_SF_Motor,entity:QNL_AHU-B-005_SF-Motor,part
entity:QNL_AHU_B_005_SpcHumd01_PV,entity:QNL_AHU-B-005_Space-Humidity-1,point
entity:QNL_AHU_B_005_SpcTemp01_PV,entity:QNL_AHU-B-005_Space-Temperature-1,point
entity:QNL_AHU_B_005_SupAirDuctPrs_PV,entity:QNL_AHU-B-005_Supply-Air-Duct-Pressure,point
entity:QNL_AHU_B_005_SupAirFlow_PV,entity:QNL_AHU-B-005_Supply-Air-Flow,point
entity:QNL_AHU_B_005_SupAirHumd_PV,entity:QNL_AHU-B-005_Supply-Air-Humidity,point
entity:QNL_AHU_B_005_SupAirTemp_PV,entity:QNL_AHU-B-005_Supply-Air-Temperature,point
entity:QNL_AHU_B_005_SupFan_AutoManCmd,entity:QNL_AHU-B-005_Supply-Fan-Auto-Manual-Command,point
entity:QNL_AHU_B_005_SupFan_FTSP,entity:QNL_AHU-B-005_Supply-Fan-Fail-To-Stop-Alarm,point
entity:QNL_AHU_B_005_SupFan_FTST,entity:QNL_AHU-B-005_Supply-Fan-Fail-To-Start-Alarm,point
entity:QNL_AHU_B_005_SupFan_SpeedFbk,entity:QNL_AHU-B-005_Supply-Fan-Speed-Feedback,point
entity:QNL_AHU_B_005_SupFan_TripAlm,entity:QNL_AHU-B-005_Supply-Fan-Trip-Alarm,point
entity:QNL_AHU_B_005_SupFan_kW,entity:QNL_AHU-B-005_Supply-Fan-Electric-Power,point
entity:QNL_AHU_B_005_SupFan_kWH,entity:QNL_AHU-B-005_Supply-Fan-Electrical-Energy,point
entity:QNL_AHU_B_006,entity:QNL_AHU-B-006,equipment
entity:QNL_AHU_B_006_AvgSpcHumd_PV,entity:QNL_AHU-B-006_Average-Space-Humidity,point
entity:QNL_AHU_B_006_AvgSpcTemp_PV,entity:QNL_AHU-B-006_Average-Space-Temperature,point
entity:QNL_AHU_B_006_CHW-Coil,entity:QNL_AHU-B-006_CHW-Coil,part
entity:QNL_AHU_B_006_CHWRtnTemp_PV,entity:QNL_AHU-B-006_Chilled-Water-Return-Temperature,point
entity:QNL_AHU_B_006_CHWSupTemp_PV,entity:QNL_AHU-B-006_Chilled-Water-Supply-Temperature,point
entity:QNL_AHU_B_006_CoolVlv_PosFbk,entity:QNL_AHU-B-006_Cooling-Valve-Position-Feedback,point
entity:QNL_AHU_B_006_DuctTemp01_PV,entity:QNL_AHU-B-006_Duct-Temperature-1,point
entity:QNL_AHU_B_006_DuctTemp02_PV,entity:QNL_AHU-B-006_Duct-Temperature-2,point
entity:QNL_AHU_B_006_DuctTemp03_PV,entity:QNL_AHU-B-006_Duct-Temperature-3,point
entity:QNL_AHU_B_006_DuctTemp04_PV,entity:QNL_AHU-B-006_Duct-Temperature-4,point
entity:QNL_AHU_B_006_DuctTemp05_PV,entity:QNL_AHU-B-006_Duct-Temperature-5,point
entity:QNL_AHU_B_006_DuctTemp06_PV,entity:QNL_AHU-B-006_Duct-Temperature-6,point
entity:QNL_AHU_B_006_DuctTemp07_PV,entity:QNL_AHU-B-006_Duct-Temperature-7,point
entity:QNL_AHU_B_006_DuctTemp08_PV,entity:QNL_AHU-B-006_Duct-Temperature-8,point
