kind,source_identifier,ontology_identifier,rdfs:label_en
room,entity:QNL_B214_COR_CORRIDOR6,entity:QNL_B_214_COR_CORRIDOR6,B.214_COR_CORRIDOR6
room,entity:QNL_B214_IDF_IDF_ROOM,entity:QNL_B_214_IDF_IDF_ROOM,B.214_IDF_IDF_ROOM
room,entity:QNL_B_215_IDF_FM_STORAGE,entity:QNL_B_215_IDF_FM_STORAGE,B.215_IDF_FM_STORAGE
room,entity:QNL_B_215A_IDF,entity:QNL_B_215A_IDF,B.215A_IDF
room,entity:QNL_B_220_PLANT_ROOM_04,entity:QNL_B_220_PLANT_ROOM_04,B.220_PLANT_ROOM_04
room,entity:QNL_B_221_MAINTENANCE,entity:QNL_B_221_MAINTENANCE,B.221_MAINTENANCE
room,entity:QNL_B_222_IDF,entity:QNL_B_222_IDF,B.222_IDF
room,entity:QNL_B_223_VENTILATON,entity:QNL_B_223_VENTILATON,B.223_VENTILATON
room,entity:QNL_B_224_CORRIDOR,entity:QNL_B_224_CORRIDOR,B.224_CORRIDOR
room,entity:QNL_B_225_VENTILATON,entity:QNL_B_225_VENTILATON,B.225_VENTILATON
room,entity:QNL_B_226_PUMP_ROOM,entity:QNL_B_226_PUMP_ROOM,B.226_PUMP_ROOM
room,entity:QNL_B_227_CORRIDOR,entity:QNL_B_227_CORRIDOR,B.227_CORRIDOR
room,entity:QNL_B-AT-04A_ST-04A,entity:QNL_B_AT-04A_ST-04A,B.AT-04A_ST-04A
room,entity:QNL_B-L-1_L-1,entity:QNL_B_L-1_L-1,B.L-1_L-1
room,entity:QNL_B-L-15_L-15,entity:QNL_B_L-15_L-15,B.L-15_L-15
room,entity:QNL_B-L-2_L-2,entity:QNL_B_L-2_L-2,B.L-2_L-2
room,entity:QNL_B-L-3_L-3,entity:QNL_B_L-3_L-3,B.L-3_L-3
room,entity:QNL_B-L-4_L-4,entity:QNL_B_L-4_L-4,B.L-4_L-4
room,entity:QNL_B-ST-01_ST-01,entity:QNL_B_ST-01_ST-01,B.ST-01_ST-01
room,entity:QNL_B-ST-02_ST-02,entity:QNL_B_ST-02_ST-02,B.ST-02_ST-02
room,entity:QNL_B-ST-03_ST-03,entity:QNL_B_ST-03_ST-03,B.ST-03_ST-03
